idplayer;tx_vitorias;contagem_partidas
1237;94,4444;18
397;84,6154;13
1262;84,6154;13
2120;83,3333;12
306;83,3333;18
1083;83,3333;18
2545;82,3529;17
2054;82,3529;17
2311;81,8182;11
459;81,25;16
552;80,198;101
1718;80;15
263;79,845;129
2709;79,661;59
424;79,6296;54
1061;79,4118;34
2123;78,5714;14
1316;78,3784;74
1957;77,4194;62
1060;76,9231;13
1269;76,1905;21
1281;76,1905;21
1625;75,6098;41
2463;75;12
1188;75;16
1028;75;12
2320;75;20
58;75;32
2654;73,913;46
340;73,6842;19
1035;73,3333;15
2462;72,7273;11
1497;72,7273;22
581;72,7273;11
2006;72,7273;22
401;72,549;51
1847;72,2222;18
1206;71,8954;153
391;71,4286;35
1235;71,4286;21
2537;71,4286;21
1648;71,1538;52
2427;70,9677;31
2410;70,4545;44
1757;70,4545;44
2163;70,3704;81
1342;70;30
926;70;20
2042;69,7674;43
782;69,7674;129
